key,id,lat,lon,tolerance_m
1.42239141:10.9185867:13.10061764:Bibirevo,1,55.89100746,37.60484394,5
9.503405157:3.103995954:6.444333466:Nagatinskij Zaton,2,55.67699882,37.67313463,5
5.60479992:2.927487097:6.963402995:Tekstil'shhiki,3,55.70294634,37.74115925,10
2.677824281:14.60650078:17.45719794:Mitino,4,55.84386999,37.34891995,10
11.61665314:1.721833675:0.046809568:Basmannoe,5,55.76348249,37.65742103,10
8.296086727:0.284868107:3.519388985:Nizhegorodskoe,6,55.73307973,37.70797608,10
8.618597103:2.026622694:3.940565824:Sokol'niki,7,55.79403629,37.6934215,10
1.04229051:11.53414568:13.71375173:Bibirevo,8,55.89629375,37.5990185,10
6.53914608:5.514867811:8.290836714:Koptevo,9,55.83555201,37.53375483,25
3.953500268:5.885973152:8.955785282:Kuncevo,10,55.73155324,37.4422704,5
3.114978819:11.0831538:14.96900889:Kosino-Uhtomskoe,11,55.71751685,37.88839571,10
0.75556051:11.30023882:14.06482697:Zapadnoe Degunino,12,55.88243209,37.49427607,25
1.652673969:8.215523636:11.28861228:Kuncevo,13,55.7291448,37.4053931,5
10.82234557:0.571993411:2.539288926:Presnenskoe,14,55.75700483,37.54304663,25
8.276662483:0.820600456:3.331353681:Lefortovo,15,55.75250722,37.71012154,5
3.561980243:8.715519371:11.90844523:Mar'ino,16,55.64758948,37.75534299,5
4.571856115:4.155110539:8.210705767:Kuz'minki,17,55.69581358,37.75637373,5
10.07550672:3.716122269:6.856826179:Nagornoe,18,55.6680106,37.62001391,10
3.479508932:11.44773248:15.32726643:Kosino-Uhtomskoe,19,55.71755707,37.89420902,10
3.477143944:7.297422617:9.449467533:Gol'janovo,20,55.81181961,37.78065976,10
12.4839416:22.41418591:25.13536935:Vnukovo,21,55.61244242,37.25485213,10
3.855370961:9.238174797:11.88543752:Juzhnoe Tushino,22,55.84211908,37.45717407,5
1.855884204:11.5698058:14.19322769:Severnoe Tushino,23,55.85346655,37.42566221,5
3.84295599:9.946318258:13.14607196:Chertanovo Central'noe,24,55.61182002,37.60097349,5
1.174998286:11.04854046:13.74376131:Juzhnoe Tushino,25,55.83943565,37.41466921,10
4.624835439:5.193873987:8.245829334:Fili Davydkovo,26,55.72920154,37.45468459,5
3.947583365:8.007233765:10.18233503:Otradnoe,27,55.86502996,37.61356138,5
4.852239528:14.93939229:17.65713927:Novo-Peredelkino,28,55.64085245,37.36495545,5
6.03254832:4.535959364:6.539703782:Bogorodskoe,29,55.81020894,37.7228731,25
